Client,Position,Skillset,InterviewType,Gender,StartPermission,Unscheduled,FollowUp,AlternativeContact,Resume,Venue,Letter,ExpectAttend,Attendence,MaritalStat
Standard Chartered Bank,Routine,CDD KYC,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,CDD KYC,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,CDD KYC,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java J2ee,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java Developer,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,"Java,spring,hibernate",Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,"Java, XML, Struts, hibernate",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/J2EE,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java ,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java ,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java ,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java ,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,AML,Routine,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,AML,Routine,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,AML,Routine,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Trade Finance,Routine,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Trade Finance,Routine,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Trade Finance,Routine,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Trade Finance,Routine,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Biosimillar,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Biosimillar,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Publishing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Publishing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Publishing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Publishing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle Plsql,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Oracle Plsql,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Lending and Liabilities,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Lending and Liabilities,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Lending and Liabilities,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,CDD KYC,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,CDD KYC,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,CDD KYC,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,CDD KYC,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Java J2EE,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hewitt,Routine,Dot Net,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Single
UST,Dot Net,Routine,Scheduled ,Male,No,Yes,Yes,Yes,No,Yes,No,No,No,Single
Hewitt,Routine,testing,Scheduled ,Female,Not yet,Yes,Yes,Yes,No,Yes,No,No,No,Single
Hewitt,Routine,testing,Scheduled ,Female,Not yet,Yes,Yes,No,Yes,Yes,No,No,No,Single
UST,Dot Net,Routine,Scheduled ,Male,No,No,Yes,Yes,Yes,Yes,No,No,No,Single
UST,Dot Net,Routine,Scheduled ,Male,Not yet,Yes,Yes,Yes,Yes,Yes,No,No,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,No,Yes,Yes,Yes,No,No,Not Sure,No,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,No,Yes,Yes,Yes,No,No,Not Sure,No,No,Single
Standard Chartered Bank,Niche,Java-SAS,Scheduled ,Female,Not yet,Yes,Yes,Yes,Yes,No,Not Sure,No,No,Single
Williams Lea,Niche,ETL,Scheduled ,Female,Not yet,Not Sure,Yes,No,Not Yet,Yes,Not Sure,No,No,Single
Hewitt,Routine,testing,Scheduled ,Female,Not yet,Yes,Yes,No,Not Yet,Yes,Not Sure,No,No,Single
Standard Chartered Bank,Niche,Java-SAS,Scheduled ,Male,Not yet,Yes,Yes,Yes,Not Yet,Yes,Not Sure,No,No,Single
Williams Lea,Niche,ETL,Scheduled ,Male,Not yet,Not Sure,Yes,No,Not Yet,No,Yes,No,No,Single
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Single
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yet to confirm,Yes,Yes,Yes,Yes,No,Yes,No,No,Single
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,No,No,No,No,No,Yes,Yes,No,No,Single
Hewitt,Routine,testing,Scheduled ,Female,Not yet,Not Sure,Yes,No,No,Yes,Yes,No,No,Single
Williams Lea,Niche,ETL,Scheduled ,Male,Not yet,Not Sure,Yes,Yes,No,Yes,Yes,No,No,Single
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yet to confirm,Yes,Yes,Yes,No,Yes,Yes,No,No,Single
UST,Dot Net,Routine,Scheduled ,Female,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Single
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yet to confirm,Yes,Yes,No,Yes,Yes,Yes,No,No,Single
Pfizer,Niche,Tech lead-Mednet,Scheduled ,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Single
Pfizer,Niche,Technical Lead,Scheduled ,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Single
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Single
Standard Chartered Bank,Routine,Java Tech Lead,Scheduled ,Female,Not yet,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Single
Standard Chartered Bank,AML,Routine,Scheduled ,Female,Yes,Yes,Yes,No,Yes,Yes,Not Sure,Uncertain,No,Single
Standard Chartered Bank,Routine,Java JSF,Walkin,Female,Not yet,Yes,Yes,No,No,Yes,No,Uncertain,No,Single
Hospira,Routine,Analytical R&D,Scheduled ,Male,Yes,No,Yes,Yes,Yes,Yes,No,Uncertain,No,Single
Standard Chartered Bank,Routine,Senior Analyst,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,No,Uncertain,No,Single
Aon Hewitt,Routine,"Java,SQL",Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,No,Uncertain,No,Single
Standard Chartered Bank,Routine,SAS,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,No,Not Sure,Uncertain,No,Single
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Not Sure,Uncertain,No,Single
UST,Dot Net,Routine,Scheduled ,Male,Yes,Yes,Yes,No,No,Yes,Yes,Uncertain,No,Single
Hospira,Production- Sterile,Routine,Scheduled ,Male,Yes,Yes,No,Yes,No,Yes,Yes,Uncertain,No,Single
UST,Dot Net,Routine,Scheduled ,Female,No,Yes,No,No,Yes,Yes,Yes,Uncertain,No,Single
